000566.XSHE	2022-03-01	-5.3593	1.7931	2.8837	-18.3253
000567.XSHE	2022-03-01	46.6326	2.4701	24.3671	-25.5525
000568.XSHE	2022-03-01	43.5206	12.0402	16.9549	277.1695
000570.XSHE	2022-03-01	31.6169	1.2068	1.4919	89.8711
000571.XSHE	2022-03-01	-5.8158	4.1334	1.8233	9.4586
000572.XSHE	2022-03-01	-6.971	2.6056	5.4014	185.47400000000002
000573.XSHE	2022-03-01	94.6661	1.4295	1.9015	12.9825
000576.XSHE	2022-03-01	174.3981	3.2737	8.0521	-209.1688
000581.XSHE	2022-03-01	7.9069	1.1148	1.3776	-136.2197
000582.XSHE	2022-03-01	13.0479	1.2009	2.2735	5.1519
000584.XSHE	2022-03-01	-82.9495	1.9169	2.6951	-20.9715
000585.XSHE	2022-03-01	-16.9347	-7.8478	15.722000000000001	-19.6127
000586.XSHE	2022-03-01	45.6087	5.9968	3.4161	-104.0825
000587.XSHE	2022-03-01	1.6636	-19.9206	-5.7779	-11.5721
000589.XSHE	2022-03-01	14.0417	0.8818	0.7101	-48.6298
000590.XSHE	2022-03-01	52.7303	3.2737	7.1103	-19.5916
000591.XSHE	2022-03-01	24.2174	2.0166	4.4431	270.7348
000592.XSHE	2022-03-01	-27.4509	1.8307	3.3919	35.5679
000593.XSHE	2022-03-01	41.5686	2.1789	1.4662	73.4756
000595.XSHE	2022-03-01	1065.6645	4.7405	22.3475	18.7422
000596.XSHE	2022-03-01	51.568999999999996	7.2711	9.5642	64.5006
000597.XSHE	2022-03-01	227.3055	2.045	1.0493	-35.3265
000598.XSHE	2022-03-01	11.7973	1.3315	2.8653	-11.3203
000599.XSHE	2022-03-01	-17.8173	1.0355	0.7741	-16.3656
000600.XSHE	2022-03-01	-12.1063	0.7318	0.568	-258.4877
000601.XSHE	2022-03-01	582.1631	1.0317	1.0978	-47.7851
000603.XSHE	2022-03-01	27.5488	3.9545	6.2891	82.6751
000605.XSHE	2022-03-01	173.43599999999998	1.0798	1.2227	-34.5942
000606.XSHE	2022-03-01	-1.1101	3.2669	4.4214	-7.8213
000607.XSHE	2022-03-01	-20.1963	3.9025	2.7974	-47.3241
000608.XSHE	2022-03-01	12.5755	0.8021	3.2455	-14.7184
000609.XSHE	2022-03-01	-3.6101	1.2465	21.1657	-14.1442
000610.XSHE	2022-03-01	-24.9878	2.4646	3.9118	37.6526
000611.XSHE	2022-03-01	-26.1701	2.8919	64.7719	-4.6248
000612.XSHE	2022-03-01	12.0012	1.6432	1.7096	34.9626
000613.XSHE	2022-03-01	-24532.004	20.1615	39.8026	2585.9287
000615.XSHE	2022-03-01	37.8779	3.1764	3.3179	25.6032
000616.XSHE	2022-03-01	7.0966	0.561	2.1697	-14.2945
000617.XSHE	2022-03-01	10.0348	0.7506	2.2848	2.8149
000619.XSHE	2022-03-01	-33.7762	0.8340000000000001	0.4041	-42.1329
000620.XSHE	2022-03-01	-2.3141	1.1507	0.7526	-31.6703
000622.XSHE	2022-03-01	-216.571	10.3495	5.2544	-2041.1870000000001
000623.XSHE	2022-03-01	9.9402	0.7816	8.4444	-17.4041
000625.XSHE	2022-03-01	35.7809	1.8197	0.9384	3.4187
000626.XSHE	2022-03-01	66.8507	3.5147	0.1286	19.2893
000627.XSHE	2022-03-01	45.0943	0.7196	0.3832	-15.602
000628.XSHE	2022-03-01	25.1202	2.6358	0.6213	37.6525
000629.XSHE	2022-03-01	44.1905	3.4960000000000004	2.6362	-178.0952
000630.XSHE	2022-03-01	15.8657	1.9351	0.3189	-78.3457
000631.XSHE	2022-03-01	66.7478	1.3661	37.3058	177.1385
000632.XSHE	2022-03-01	39.3054	1.2631	0.1781	-45.2802
000633.XSHE	2022-03-01	1868.0542	15.3675	17.5249	-152.0667
000635.XSHE	2022-03-01	14.5504	1.0226	1.1942	-12.3392
000636.XSHE	2022-03-01	23.2976	3.0460000000000003	3.8694	-33.2691
000637.XSHE	2022-03-01	81.9391	2.7556	0.5759	-18.7881
000638.XSHE	2022-03-01	73830.1747	15.8688	9.1919	24.9425
000639.XSHE	2022-03-01	24.5426	1.3524	0.809	-10.8803
000650.XSHE	2022-03-01	15.0192	2.1421	2.2853	-10.2621
000651.XSHE	2022-03-01	9.0307	2.3603	1.1931	-473.8264
000652.XSHE	2022-03-01	27.8172	1.2158	0.2726	-54.2331
000655.XSHE	2022-03-01	12.4951	1.5849	2.5767	16.4315
000656.XSHE	2022-03-01	3.3819999999999997	0.6697	0.2323	-14.099
000657.XSHE	2022-03-01	33.2098	3.2066	1.2254	-135.5742
000659.XSHE	2022-03-01	-91.9125	7.287000000000001	3.5108	2300.7964
000661.XSHE	2022-03-01	18.8025	5.2028	7.1006	66.3807
000663.XSHE	2022-03-01	13.8836	3.9124	4.8653	86.4028
000665.XSHE	2022-03-01	-9.2606	1.3266	3.3152	-17.8955
000666.XSHE	2022-03-01	11.6682	0.6957	0.5232	7.5302
000667.XSHE	2022-03-01	-12.3198	0.6273	1.0489	-6.9794
000668.XSHE	2022-03-01	-44.2563	2.3494	18.0517	24.774
000669.XSHE	2022-03-01	-6.7574	1.3745	0.9084	-13.9219
000670.XSHE	2022-03-01	567.4983	56.1221	0.6358	-26.545
000671.XSHE	2022-03-01	1.8663	0.3593	0.1178	-0.5771
000672.XSHE	2022-03-01	8.5042	2.3224	2.3286	199.1624
000673.XSHE	2022-03-01	29.5865	-7.7718	7.8007	-565.8618
000676.XSHE	2022-03-01	-3.7169	2.4467	1.4172	-21.3321
000677.XSHE	2022-03-01	54.8551	9.4546	3.4619	48.1398
000678.XSHE	2022-03-01	-53.2249	2.1949	1.6658	-32.5589
000679.XSHE	2022-03-01	-36.5887	2.52	7.7556	-21.3639
000680.XSHE	2022-03-01	31.3262	1.4629	0.6995	17.3714
000681.XSHE	2022-03-01	67.0277	3.4619	17.4821	130.2579
000682.XSHE	2022-03-01	32.7587	2.7352	2.4596	-332.6868
000683.XSHE	2022-03-01	15.2232	2.7408	2.8745	3241.6538
000685.XSHE	2022-03-01	8.2647	0.8398	5.0373	-283.6211
000686.XSHE	2022-03-01	11.753	1.0702	2.5781	3.1426
000687.XSHE	2022-03-01	-1.1243	-0.7957	31.5799	-179.1455
000688.XSHE	2022-03-01	96.4228	8.5494	19.0014	-27.9986
000690.XSHE	2022-03-01	9.439	1.0323	1.3542	33.0651
000691.XSHE	2022-03-01	100.4161	17.3152	3.2868	-685.1151
000692.XSHE	2022-03-01	-2.5594	22.6972	1.1203	20.5494
000695.XSHE	2022-03-01	-62.5143	6.206	3.2953	-62.6889
000697.XSHE	2022-03-01	-10.9805	6.8036	5.3975	-101.2957
000698.XSHE	2022-03-01	6.6829	1.0143	0.3743	-8.0304
000700.XSHE	2022-03-01	-26.7026	1.9317	0.5751	-55.3569
000701.XSHE	2022-03-01	-109.5682	5.8049	0.0311	2.2183
000702.XSHE	2022-03-01	-7.7395	4.1416	1.0326	18.6425
000703.XSHE	2022-03-01	11.7158	1.402	0.298	89.919
000705.XSHE	2022-03-01	35.4354	1.4965	0.7539	-26.4219
000707.XSHE	2022-03-01	-106.2308	15.7525	1.8556	261.1906
000708.XSHE	2022-03-01	14.4274	3.492	1.1638	139.3711
000709.XSHE	2022-03-01	9.4264	0.5399	0.1842	8.4374
000710.XSHE	2022-03-01	68.9212	2.4434	3.8698	-5027.9985
000711.XSHE	2022-03-01	-1.7338	2.0305	3.2611	-18.5906
000712.XSHE	2022-03-01	-133.4835	3.9309	12.2269	46.4591
000713.XSHE	2022-03-01	228.6044	3.51	2.2483	117.9269
000715.XSHE	2022-03-01	12.8467	1.3114	2.3646	-3.3289
000716.XSHE	2022-03-01	49.5648	0.872	0.5692	1548.106
000717.XSHE	2022-03-01	5.107	1.0836	0.2727	6.2491
000718.XSHE	2022-03-01	13.5942	1.3944	2.9941	-24.2374
000719.XSHE	2022-03-01	8.3191	0.8364	0.8703	-3.8238
000720.XSHE	2022-03-01	19.0415	2.2135	1.0845	31.243000000000002
000721.XSHE	2022-03-01	-257.6597	3.0931	4.6061	-38.2121
000722.XSHE	2022-03-01	35.9812	1.2819	8.5016	-37.7275
000723.XSHE	2022-03-01	27.1718	5.2092	3.1460000000000004	2212.196
000725.XSHE	2022-03-01	8.0041	1.4503	0.8861	7.0865
000726.XSHE	2022-03-01	23.7955	0.7487	1.1966	6.4188
000727.XSHE	2022-03-01	6.9842	6.1023	0.1689	-7.2912
000728.XSHE	2022-03-01	16.6111	0.9631	5.1133	6.8452
000729.XSHE	2022-03-01	84.5572	1.7143	2.0581	-6.3663
000731.XSHE	2022-03-01	14.0004	1.751	1.5190000000000001	36.5448
000732.XSHE	2022-03-01	-1.9247	0.5442	3.0523	-4.0047
000733.XSHE	2022-03-01	50.9498	8.8889	11.9532	271.7291
000735.XSHE	2022-03-01	-63.1832	1.9389	4.1453	-212.6459
