,ticker,tradeDate,PE,PB,PS,PCF
0,000780,2017-10-09,143.8484,1.2578,2.1134,6.9383
0,000782,2017-10-09,-106.5451,4.5039,1.7708,100.0405
0,000783,2017-10-09,25.9686,2.0889,8.9638,-1.8702
0,000785,2017-10-09,226.279,3.5013,0.7232,10.5084
0,000786,2017-10-09,23.5964,3.0586,3.6153,18.7035
0,000788,2017-10-09,273.3501,5.1928,2.7003,102.5578
0,000789,2017-10-09,21.3083,1.9205,0.8691,6.319
0,000790,2017-10-09,50.8711,5.7805,6.5801,-287.5098
0,000791,2017-10-09,181.8092,1.5208,4.7389,7.5323
0,000792,2017-10-09,-106.1853,2.4202,5.3383,28.843
0,000793,2017-10-09,22.3496,2.0634,4.7268,23.6698
0,000795,2017-10-09,138.9154,4.4125,5.2636,58.3829
0,000796,2017-10-09,40.1103,6.0441,1.5642,29.7595
0,000797,2017-10-09,55.1977,5.7696,4.8402,16.6135
0,000798,2017-10-09,64.4018,4.2016,4.2945,18.9663
0,000799,2017-10-09,60.3834,4.8187,12.5476,54.9239
0,000800,2017-10-09,171.9146,3.0684,0.885,22.9098
0,000801,2017-10-09,80.5847,3.8727,2.4592,-535.8438
0,000802,2017-10-09,21.021,2.634,12.356,-44.1567
0,000803,2017-10-09,-47.7698,85.1205,73.4511,910.1176
0,000806,2017-10-09,-801.3651,5.766,9.5695,1950.7125
0,000807,2017-10-09,179.6839,3.9483,2.0004,31.7697
0,000809,2017-10-09,-14.3011,1.213,170.1737,-20.6968
0,000810,2017-10-09,43.0974,4.4722,1.8596,-31.2569
0,000811,2017-10-09,22.8138,2.4797,1.9832,110.0029
0,000812,2017-10-09,122.8895,4.2977,3.6051,23.5736
0,000813,2017-10-09,23.4851,4.241,11.1869,46.1218
0,000815,2017-10-09,232.7795,5.6978,16.129,498.8193
0,000816,2017-10-09,-47.6697,2.9828,5.6723,-224.7643
0,000818,2017-10-09,51.5059,3.642,2.7938,56.6891
0,000819,2017-10-09,520.4733,6.8534,3.659,102.014
0,000820,2017-10-09,41.9207,19.6375,17.9727,82.3326
0,000821,2017-10-09,48.9773,3.5103,4.5016,79.992
0,000822,2017-10-09,57.9404,4.3764,2.5578,30.9072
0,000823,2017-10-09,36.4542,2.7181,2.1226,21.8307
0,000825,2017-10-09,18.2962,1.2528,0.4471,3.8105
0,000826,2017-10-09,32.8058,4.9453,5.0226,-57.9337
0,000828,2017-10-09,14.9178,2.5245,9.6929,-8.55
0,000829,2017-10-09,41.3641,4.8041,0.3113,3.7087
0,000830,2017-10-09,24.4097,2.5381,1.257,7.1487
0,000831,2017-10-09,180.1965,7.2469,22.7972,201.1436
0,000833,2017-10-09,73.1497,2.0793,3.0965,26.0729
0,000835,2017-10-09,72.2216,8.1332,12.297,25.6836
0,000836,2017-10-09,102.2912,4.2335,3.6813,74.8844
0,000837,2017-10-09,71.2104,1.8685,1.8021,222.9571
0,000838,2017-10-09,288.8274,4.7329,6.7596,-16.0062
0,000839,2017-10-09,146.8792,6.3189,9.7196,-284.9032
0,000848,2017-10-09,24.5936,5.4964,4.7508,20.3544
0,000850,2017-10-09,143.4903,1.0602,2.2629,100.4615
0,000851,2017-10-09,81.0251,2.4679,0.8482,133.9186
0,000852,2017-10-09,-9.9637,5.0633,2.4376,-173.4693
0,000856,2017-10-09,-237.3545,21.1782,4.3688,-79.9004
0,000858,2017-10-09,28.2386,4.5693,8.258,21.0627
0,000859,2017-10-09,75.4563,2.6667,3.1984,108.9932
0,000860,2017-10-09,26.6896,1.9249,0.9918,11.1221
0,000861,2017-10-09,47.7571,2.8674,4.2831,42.259
0,000862,2017-10-09,81.1847,2.0208,4.3163,13.3842
0,000863,2017-10-09,29.3448,1.5217,2.7579,-26.8293
0,000868,2017-10-09,2392.6653,6.2283,1.5029,11.2243
0,000869,2017-10-09,27.4327,2.9578,5.5513,41.8581
0,000875,2017-10-09,-251.8189,1.3826,2.2436,9.5304
0,000876,2017-10-09,14.4001,1.4215,0.4968,11.5564
0,000877,2017-10-09,46.6605,1.7751,1.9077,15.5528
0,000878,2017-10-09,64.4394,3.4773,0.2868,5.1187
0,000880,2017-10-09,118.8286,2.3529,1.7317,49.9507
0,000881,2017-10-09,52.8372,3.3968,3.8602,-498.9039
0,000882,2017-10-09,100.5715,1.239,9.8673,-282.3735
0,000883,2017-10-09,16.6944,1.3287,3.0719,9.4308
0,000885,2017-10-09,56.545,3.6114,2.6385,14.7148
0,000886,2017-10-09,56.1874,2.5702,11.0603,18.4077
0,000887,2017-10-09,24.875,3.7623,2.5839,25.5575
0,000888,2017-10-09,30.5978,2.8742,5.4987,18.2169
0,000889,2017-10-09,51.8577,4.045,5.7828,106.7369
0,000890,2017-10-09,22.9165,3.495,1.3939,-1.116
0,000892,2017-10-09,45.5564,3.0514,10.9708,-10.0065
0,000893,2017-10-09,-486.5914,1.6143,3.5893,38.1379
0,000895,2017-10-09,19.499,6.6545,1.6098,16.4057
0,000897,2017-10-09,-430.8683,5.4917,12.5488,26.2453
0,000898,2017-10-09,15.1196,1.0265,0.6637,13.4831
0,000899,2017-10-09,34.983,1.6429,3.2555,20.1515
0,000900,2017-10-09,10.4309,1.1333,0.9057,6.1301
0,000901,2017-10-09,82.0648,3.2479,2.0828,22.4693
0,000902,2017-10-09,25.4122,2.4651,1.6028,8.4069
0,000903,2017-10-09,25.4598,1.5696,1.4209,-13.618
0,000905,2017-10-09,37.8762,2.6986,0.6193,493.5609
0,000906,2017-10-09,33.0451,2.6457,0.1139,12.5783
0,000908,2017-10-09,23.3461,2.868,2.5485,116.0254
0,000909,2017-10-09,176.6506,4.189,2.344,7.2619
0,000910,2017-10-09,20.6715,4.0057,1.7654,10.9785
0,000911,2017-10-09,25.861,2.4956,0.9844,7.0988
0,000912,2017-10-09,-11.2156,69.6301,1.5848,32.8567
0,000913,2017-10-09,25.1444,3.3633,3.4076,40.4152
0,000915,2017-10-09,34.3322,5.8548,4.8479,19.4813
0,000916,2017-10-09,37.0489,2.3863,11.2048,16.3795
0,000917,2017-10-09,47.2546,1.3766,1.9443,-54.4621
0,000918,2017-10-09,20.7417,6.6516,9.4999,48.1173
0,000919,2017-10-09,31.038,2.0805,1.5245,16.388
0,000920,2017-10-09,46.2999,6.2058,4.9127,47.2005
0,000921,2017-10-09,15.9479,3.7327,0.6134,7.7851
0,000922,2017-10-09,-22.4157,3.1167,3.3296,844.6201
0,000923,2017-10-09,11555.8617,45.8637,69.3165,-185.5333
0,000925,2017-10-09,-55.9564,3.0617,5.6821,-267.931
0,000926,2017-10-09,16.736,1.2157,1.1576,6.2473
0,000927,2017-10-09,-2029.0648,9.1055,5.6038,-4.0474
0,000928,2017-10-09,19.8219,2.3779,1.1647,51.4279
0,000929,2017-10-09,173.2745,3.3406,3.7011,20.1136
0,000930,2017-10-09,41.2223,7.8272,2.3711,13.6798
0,000931,2017-10-09,-236.1292,3.7645,3.9496,46.0353
0,000932,2017-10-09,32.5886,3.8379,0.4377,3.1522
0,000933,2017-10-09,71.0491,3.4968,1.1923,20.9816
0,000935,2017-10-09,138.6368,5.9471,6.6387,38.9941
0,000936,2017-10-09,10.0544,1.3185,2.2763,63.5614
0,000937,2017-10-09,30.2301,1.2839,1.3345,38.6698
0,000938,2017-10-09,48.7247,2.712,1.8707,87.1731
0,000939,2017-10-09,62.2732,1.8575,4.2469,-49.0574
0,000948,2017-10-09,297.35,2.2429,1.3892,-37.176
0,000949,2017-10-09,43.4997,1.5815,1.4612,27.63
0,000950,2017-10-09,-14.8164,6.7064,2.4137,19.1238
0,000951,2017-10-09,17.4452,2.4636,0.4301,-4.5749
0,000952,2017-10-09,29.9617,5.7681,5.3676,37.541
0,000953,2017-10-09,-38.5808,-45.4163,10.5635,32.0386
0,000955,2017-10-09,368.5131,5.3681,6.3629,-53.9418
0,000957,2017-10-09,25.5306,3.4224,1.1978,24.3209
0,000958,2017-10-09,97.4529,3.2086,3.4203,24.5986
0,000959,2017-10-09,27.8471,1.4186,0.7168,4.6088
0,000960,2017-10-09,54.5905,3.2402,0.75,11.6708
0,000961,2017-10-09,55.3433,1.7032,0.6961,-14.76
0,000962,2017-10-09,71.4796,3.6775,5.3736,13.7074
0,000963,2017-10-09,28.9134,6.2814,1.7681,78.6282
