,code,day,pe_ratio,pb_ratio,ps_ratio,pcf_ratio
222,000662.XSHE,2017-09-29,29.4961,2.6169,10.1632,-53.111999999999995
223,000663.XSHE,2017-09-29,42.7228,2.4529,3.6126,-191.0149
224,000665.XSHE,2017-09-29,24.7396,1.3262,3.0208,-39.5123
225,000666.XSHE,2017-09-29,18.3699,2.0327,1.3567,13.5239
226,000667.XSHE,2017-09-29,12.4715,1.2844,1.7417,18.0684
227,000668.XSHE,2017-09-29,-101.814,4.1854,172.4625,-19.7193
228,000669.XSHE,2017-09-29,33.4672,1.9072,2.5842,-15.9729
229,000670.XSHE,2017-09-29,1018.1793,8.6297,18.609,-3413.8325
230,000671.XSHE,2017-09-29,20.4382,2.1442,1.2309999999999999,1.7046
231,000672.XSHE,2017-09-29,22.1788,4.7342,2.4178,134.4682
232,000673.XSHE,2017-09-29,53.9561,3.9473,8.0348,69.3065
233,000676.XSHE,2017-09-29,29.6014,2.761,3.1138,-36.8079
234,000677.XSHE,2017-09-29,622.2597,14.9141,7.8634,-91.0574
235,000678.XSHE,2017-09-29,202.7831,3.0504,2.4922,-261.9937
236,000679.XSHE,2017-09-29,24.3506,2.3774,1.6019,-5.3896
237,000680.XSHE,2017-09-29,82.0637,2.14,1.2781,13.3667
238,000681.XSHE,2017-09-29,53.1718,5.3427,15.2465,283.2456
239,000682.XSHE,2017-09-29,82.38799999999999,3.0578,2.1699,6.4462
240,000683.XSHE,2017-09-29,-53.8275,1.4968,1.1429,-142.0236
241,000685.XSHE,2017-09-29,15.5994,1.4046,10.6522,-289.6233
242,000686.XSHE,2017-09-29,23.2291,1.5548,4.9763,-9.4471
243,000687.XSHE,2017-09-29,102.4267,7.4838,8.7085,59.6971
244,000688.XSHE,2017-09-29,30.0433,6.2213,9.8526,36.6622
245,000690.XSHE,2017-09-29,31.6054,2.0616,5.3369,13.7709
246,000691.XSHE,2017-09-29,-2463.6016,30.0673,46.9609,159.0919
247,000692.XSHE,2017-09-29,225.6772,2.6683,1.9279,11.3779
248,000693.XSHE,2017-09-29,-15.9538,8.7426,5.3534,16.5752
249,000695.XSHE,2017-09-29,-343.9393,8.3316,3.8252,32.0823
250,000697.XSHE,2017-09-29,-84.4267,11.3373,153.4241,70.0513
251,000698.XSHE,2017-09-29,17.1747,1.2675,0.48100000000000004,24.8878
252,000700.XSHE,2017-09-29,32.4786,1.6545,1.4648,6.1148
253,000701.XSHE,2017-09-29,52.6837,1.6312,0.113,-83.6529
254,000702.XSHE,2017-09-29,644.8973,5.1205,1.8824,-44.6797
255,000703.XSHE,2017-09-29,20.3205,2.2407,0.5728,21.1994
256,000705.XSHE,2017-09-29,55.9396,2.5823,1.3841,47.8215
257,000707.XSHE,2017-09-29,-5.3662,3.5787,0.8998,5.7884
258,000708.XSHE,2017-09-29,18.3439,1.6141,0.7767,738.1011
259,000709.XSHE,2017-09-29,19.4896,1.0323,0.5129,-20.8223
260,000710.XSHE,2017-09-29,-2299.8728,5.1694,92.7404,-12827.4814
